ID,字段1,字段2,discount,price,privilege.for.new,privilege.on.sale,district,if.nonworkdays.available,time.duration,if.appointment.needed,WiFi.available,parking,rooms.available,评分,评论数,online.intervel,quarterly.sales.volume,level.of.participants.limited,level.of.tickets.limited,place,food,taste,cook,people,style,HighFreq
181,享鱼诱,仅售78元，价值131元美味双人餐！节假日通用，免费WiFi，免费WiFi！,0.595419847,78,钱包新客最高再减20元,无立减优惠,碑林区,周末法定节假日通用,12,无需预约,免费WiFi,未提及,仅限大厅使用,4.4,69,293,92.45733788,限2-4人,限制张数,否,是,否,否,否,其他,1
1810,黑吃嘿涮(北郊旗舰店),仅售89元，价值100元北郊旗舰店代金券！节假日通用！提供免费WiFi！可叠加使用，可使用包间，免费WiFi！,0.89,89,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,8,无需预约,免费WiFi,未提及,均可使用,3.8,5,309,11.94174757,不限人数,不限张数,否,否,否,是,否,其他,1
1811,逸品老火锅,仅售45元，价值50元代金券！,0.9,45,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,13,无需预约,未提及,未提及,仅限大厅使用,0,0,275,0,限2-4人,不限张数,否,否,否,否,否,其他,2
1812,老鹅一锅,仅售86元，价值129元4人餐！节假日通用！,0.666666667,86,钱包新客最高再减20元,无立减优惠,临潼区,周末法定节假日通用,13,无需预约,未提及,未提及,仅限大厅使用,0,0,463,0.583153348,不限人数,不限张数,否,是,否,否,否,其他,2
1813,串串餐厅,仅售80元，价值100元代金券！免预约！提供免费WiFi！精选美食，欢乐尽享！,0.8,80,钱包新客最高再减20元,无立减优惠,雁塔区,非周末法定节假日通用,12.5,无需预约,未提及,未提及,未提及,0,0,694,0.778097983,不限人数,不限张数,否,否,否,否,否,川系,1
1814,成都枫火串串,仅售98元，价值171元2-3人餐！节假日通用，免费WiFi，免费WiFi！,0.573099415,98,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,12,无需预约,免费WiFi,未提及,仅限大厅使用,0,0,422,0.213270142,不限人数,不限张数,否,否,否,否,否,川系,1
1815,火到捞小火锅,仅售18.8元，价值22元单人餐！节假日通用，饮料随便喝，店内提供免费WiFi、停车位！,0.854545455,18.8,钱包新客最高再减20元,无立减优惠,阎良区,周末法定节假日通用,9,无需预约,免费WiFi,免费停车位,仅限大厅使用,4.3,3,355,6.338028169,不限人数,不限张数,否,否,否,否,否,其他,2
1816,嘿吃嘿涮,仅售80元，价值100元代金券！可叠加使用，节假日通用，店内提供免费WiFi，免费WiFi！,0.8,80,钱包新客最高再减20元,无立减优惠,高新区,周末法定节假日通用,12,无需预约,免费WiFi,未提及,仅限大厅使用,0,0,413,0.435835351,不限人数,不限张数,否,否,否,是,否,其他,1
1817,清真黑女涮串(丰禾路店),仅售38.5元，价值50元丰禾路店代金券！节假日通用！可叠加使用！,0.77,38.5,钱包新客最高再减20元,无立减优惠,莲湖区,周末法定节假日通用,6,无需预约,未提及,无停车位,仅限大厅使用,0,0,306,0.294117647,不限人数,不限张数,否,否,是,是,否,其他,2
1818,重庆鸡公煲,仅售48元，最高价值50元精美双人餐！节假日通用！,0.96,48,钱包新客最高再减20元,无立减优惠,长安区,周末法定节假日通用,12,无需预约,未提及,无停车位,仅限大厅使用,3.5,2,312,4.038461538,不限人数,不限张数,是,是,否,是,否,川系,3
182,耕牛鲜煮火锅,仅售79元，价值100元代金券！免费WiFi！,0.79,79,钱包新客最高再减20元,有立减优惠,碑林区,周末法定节假日通用,13,无需预约,免费WiFi,未提及,仅限大厅使用,4.3,7,84,50.35714286,限2-4人,限制张数,否,是,是,是,否,其他,1
1820,泉水鱼,仅售228元，价值314元6人餐！可使用包间！,0.72611465,228,钱包新客最高再减20元,无立减优惠,临潼区,周末法定节假日通用,13,无需预约,未提及,未提及,均可使用,0,0,101,0.891089109,限5-12人,不限张数,否,是,否,否,否,其他,1
1821,铜川涮锅,仅售81.9元，价值111元3至4人餐！节假日通用！,0.737837838,81.9,钱包新客最高再减20元,无立减优惠,灞桥区,周末法定节假日通用,9.5,无需预约,未提及,未提及,仅限大厅使用,0,0,299,0,不限人数,不限张数,是,否,否,是,否,川系,2
1823,咕嘟欢乐小火锅,仅售14.9元，价值19元单人餐！可叠加，节假日通用！,0.784210526,14.9,钱包新客最高再减20元,无立减优惠,未央区,周末法定节假日通用,11.5,无需预约,未提及,未提及,仅限大厅使用,4.5,4,362,3.977900552,不限人数,不限张数,否,否,否,否,否,其他,2
